"Format","MoTeC CSV File"
"Sample Rate","30","Hz"

"Time","Track","Lap Progression","Ground Speed","Driver Throttle Pos","Brake Pressure F","Brake Pressure R","Clutch Pos","Steering Angle","Fuel Remaining","Gear"
"1.600","test_track","0.2400","168","1.00","0","0","0","5","49.52","5"
"1.633","test_track","0.2450","172","1.00","0","0","0","3","49.51","6"
"1.667","test_track","0.2500","175","1.00","0","0","0","0","49.50","6"
"1.700","test_track","0.2550","178","1.00","0","0","0","-2","49.49","6"
"1.733","test_track","0.2600","180","0.95","0","0","0","-5","49.48","6"
"1.767","test_track","0.2650","182","0.85","5","5","0","-8","49.47","6"
"1.800","test_track","0.2700","178","0.60","20","20","0","-12","49.46","5"
"1.833","test_track","0.2750","170","0.30","40","40","0","-15","49.45","5"
"1.867","test_track","0.2800","160","0.00","60","60","0","-10","49.44","4"
"1.900","test_track","0.2850","148","0.00","50","50","0","-5","49.43","4"
"1.933","test_track","0.2900","140","0.10","30","30","0","0","49.42","4"
"1.967","test_track","0.2950","135","0.30","10","10","0","5","49.41","4"
"2.000","test_track","0.3000","138","0.60","0","0","0","8","49.40","4"
"2.033","test_track","0.3050","145","0.80","0","0","0","5","49.39","4"
"2.067","test_track","0.3100","152","0.95","0","0","0","2","49.38","5"
"2.100","test_track","0.3150","160","1.00","0","0","0","0","49.37","5"
"2.133","test_track","0.3200","168","1.00","0","0","0","-2","49.36","5"
"2.167","test_track","0.3250","175","1.00","0","0","0","-5","49.35","6"
"2.200","test_track","0.3300","180","1.00","0","0","0","-3","49.34","6"
"2.233","test_track","0.3350","185","1.00","0","0","0","0","49.33","6"
"2.267","test_track","0.3400","188","1.00","0","0","0","2","49.32","6"
"2.300","test_track","0.3450","190","1.00","0","0","0","5","49.31","6"
"2.333","test_track","0.3500","192","0.95","0","0","0","3","49.30","6"
"2.367","test_track","0.3550","190","0.80","10","10","0","0","49.29","6"
"2.400","test_track","0.3600","185","0.50","25","25","0","-5","49.28","5"
"2.433","test_track","0.3650","175","0.20","45","45","0","-10","49.27","5"
"2.467","test_track","0.3700","165","0.00","65","65","0","-15","49.26","4"
"2.500","test_track","0.3750","152","0.00","55","55","0","-12","49.25","4"
"2.533","test_track","0.3800","142","0.00","40","40","0","-8","49.24","3"
"2.567","test_track","0.3850","135","0.10","20","20","0","-5","49.23","3"
"2.600","test_track","0.3900","132","0.35","5","5","0","0","49.22","3"
"2.633","test_track","0.3950","135","0.60","0","0","0","5","49.21","4"
"2.667","test_track","0.4000","142","0.80","0","0","0","8","49.20","4"
"2.700","test_track","0.4050","150","0.95","0","0","0","5","49.19","4"
"2.733","test_track","0.4100","158","1.00","0","0","0","2","49.18","5"
"2.767","test_track","0.4150","165","1.00","0","0","0","0","49.17","5"
"2.800","test_track","0.4200","172","1.00","0","0","0","-2","49.16","5"
"2.833","test_track","0.4250","178","1.00","0","0","0","-5","49.15","6"
"2.867","test_track","0.4300","182","1.00","0","0","0","-3","49.14","6"
"2.900","test_track","0.4350","185","1.00","0","0","0","0","49.13","6"
"2.933","test_track","0.4400","188","1.00","0","0","0","2","49.12","6"
"2.967","test_track","0.4450","190","1.00","0","0","0","5","49.11","6"
"3.000","test_track","0.4500","192","0.90","5","5","0","8","49.10","6"
"3.033","test_track","0.4550","188","0.70","15","15","0","10","49.09","5"
"3.067","test_track","0.4600","180","0.40","35","35","0","15","49.08","5"
"3.100","test_track","0.4650","170","0.10","55","55","0","20","49.07","4"
"3.133","test_track","0.4700","158","0.00","70","70","0","18","49.06","4"
"3.167","test_track","0.4750","145","0.00","60","60","0","15","49.05","3"
"3.200","test_track","0.4800","135","0.00","45","45","0","12","49.04","3"
"3.233","test_track","0.4850","128","0.15","25","25","0","8","49.03","3"
"3.267","test_track","0.4900","125","0.40","10","10","0","5","49.02","3"
"3.300","test_track","0.4950","128","0.65","0","0","0","2","49.01","3"
"3.333","test_track","0.5000","135","0.85","0","0","0","0","49.00","4"
